country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Antigua and Barbuda,1989,male,55-74 years,0,2843,0.0,Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
Antigua and Barbuda,1990,male,35-54 years,1,5799,17.24,Antigua and Barbuda1990,,"459,469,074",7744,Silent
Antigua and Barbuda,1990,female,15-24 years,0,6827,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Generation X
Antigua and Barbuda,1990,female,5-14 years,0,6877,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Generation X
Antigua and Barbuda,1990,male,15-24 years,0,6598,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Generation X
Antigua and Barbuda,1990,male,25-34 years,0,5937,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Boomers
Antigua and Barbuda,1990,male,5-14 years,0,6611,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Generation X
Antigua and Barbuda,1990,male,75+ years,0,758,0.0,Antigua and Barbuda1990,,"459,469,074",7744,G.I. Generation
Antigua and Barbuda,1991,female,15-24 years,0,6595,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Generation X
Antigua and Barbuda,1991,female,25-34 years,0,6396,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Boomers
Antigua and Barbuda,1991,female,35-54 years,0,6198,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Boomers
Antigua and Barbuda,1991,female,55-74 years,0,3665,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Silent
Antigua and Barbuda,1991,male,5-14 years,0,6818,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Millenials
Antigua and Barbuda,1991,male,55-74 years,0,2857,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Silent
Antigua and Barbuda,1992,female,15-24 years,0,6369,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Generation X
Antigua and Barbuda,1992,female,25-34 years,0,6650,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Boomers
Antigua and Barbuda,1992,female,35-54 years,0,6534,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Boomers
Antigua and Barbuda,1992,female,5-14 years,0,7311,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Millenials
Antigua and Barbuda,1992,male,25-34 years,0,6409,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Boomers
Antigua and Barbuda,1992,male,35-54 years,0,6497,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Boomers
Antigua and Barbuda,1992,male,5-14 years,0,7059,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Millenials
Antigua and Barbuda,1992,male,55-74 years,0,2851,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Silent
Antigua and Barbuda,1992,male,75+ years,0,853,0.0,Antigua and Barbuda1992,,"499,281,148",8087,G.I. Generation
Antigua and Barbuda,1993,male,25-34 years,1,6668,15.0,Antigua and Barbuda1993,,"535,172,778",8453,Boomers
Antigua and Barbuda,1993,female,25-34 years,0,6914,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Boomers
Antigua and Barbuda,1993,female,35-54 years,0,6917,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Boomers
Antigua and Barbuda,1993,female,55-74 years,0,3662,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Silent
Antigua and Barbuda,1993,female,75+ years,0,1386,0.0,Antigua and Barbuda1993,,"535,172,778",8453,G.I. Generation
Antigua and Barbuda,1993,male,35-54 years,0,6915,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Boomers
Antigua and Barbuda,1993,male,55-74 years,0,2879,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Silent
Antigua and Barbuda,1994,female,15-24 years,0,6083,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Generation X
Antigua and Barbuda,1994,female,25-34 years,0,7151,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Boomers
Antigua and Barbuda,1994,female,35-54 years,0,7357,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Boomers
Antigua and Barbuda,1994,female,5-14 years,0,7722,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Millenials
Antigua and Barbuda,1994,female,75+ years,0,1437,0.0,Antigua and Barbuda1994,,"589,429,593",9062,G.I. Generation
Antigua and Barbuda,1994,male,35-54 years,0,7359,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Boomers
Antigua and Barbuda,1994,male,5-14 years,0,7494,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Millenials
Antigua and Barbuda,1994,male,55-74 years,0,2935,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Silent
Antigua and Barbuda,1995,female,15-24 years,0,6099,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Generation X
Antigua and Barbuda,1995,female,25-34 years,0,7333,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Generation X
Antigua and Barbuda,1995,female,55-74 years,0,3808,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Silent
Antigua and Barbuda,1995,male,15-24 years,0,5953,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Generation X
Antigua and Barbuda,1995,male,35-54 years,0,7809,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Boomers
Antigua and Barbuda,1995,male,75+ years,0,944,0.0,Antigua and Barbuda1995,,"577,280,741",8636,G.I. Generation
Antigua and Barbuda,1998,female,15-24 years,0,6529,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Generation X
Antigua and Barbuda,1998,female,5-14 years,0,8183,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Millenials
Antigua and Barbuda,1998,male,25-34 years,0,7294,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Generation X
Antigua and Barbuda,1998,male,5-14 years,0,7706,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Millenials
Antigua and Barbuda,1998,male,55-74 years,0,3213,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Silent
Antigua and Barbuda,1998,male,75+ years,0,954,0.0,Antigua and Barbuda1998,,"727,860,593",10078,G.I. Generation
Antigua and Barbuda,1999,female,15-24 years,0,6589,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Generation X
Antigua and Barbuda,1999,female,35-54 years,0,10311,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Boomers
Antigua and Barbuda,1999,female,55-74 years,0,3968,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Silent
Antigua and Barbuda,1999,male,25-34 years,0,7263,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Generation X
Antigua and Barbuda,1999,male,55-74 years,0,3276,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Silent
Antigua and Barbuda,2000,male,55-74 years,1,3333,30.0,Antigua and Barbuda2000,,"830,158,778",11021,Silent
Antigua and Barbuda,2000,female,25-34 years,0,8595,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Generation X
Antigua and Barbuda,2000,female,35-54 years,0,11040,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Boomers
Antigua and Barbuda,2000,female,55-74 years,0,3986,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Silent
Antigua and Barbuda,2000,female,75+ years,0,1413,0.0,Antigua and Barbuda2000,,"830,158,778",11021,G.I. Generation
Antigua and Barbuda,2001,female,35-54 years,0,11402,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Boomers
Antigua and Barbuda,2001,male,25-34 years,0,7071,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Generation X
Antigua and Barbuda,2002,female,25-34 years,0,8155,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Generation X
Antigua and Barbuda,2002,female,35-54 years,0,11760,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Boomers
Antigua and Barbuda,2002,female,5-14 years,0,8408,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Millenials
Antigua and Barbuda,2002,female,55-74 years,0,4050,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Silent
Antigua and Barbuda,2002,female,75+ years,0,1547,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Silent
Antigua and Barbuda,2002,male,25-34 years,0,6921,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Generation X
Antigua and Barbuda,2002,male,35-54 years,0,10604,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Boomers
Antigua and Barbuda,2002,male,55-74 years,0,3527,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Silent
Antigua and Barbuda,2002,male,75+ years,0,1024,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Silent
Antigua and Barbuda,2003,female,35-54 years,0,12129,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Boomers
Antigua and Barbuda,2003,female,55-74 years,0,4054,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Silent
Antigua and Barbuda,2003,male,15-24 years,0,6730,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Millenials
Antigua and Barbuda,2003,male,25-34 years,0,6734,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Generation X
Antigua and Barbuda,2003,male,35-54 years,0,10997,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Boomers
Antigua and Barbuda,2003,male,75+ years,0,1068,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Silent
Antigua and Barbuda,2004,male,55-74 years,1,3665,27.29,Antigua and Barbuda2004,,"919,577,148",11535,Silent
Antigua and Barbuda,2004,male,35-54 years,1,11406,8.77,Antigua and Barbuda2004,,"919,577,148",11535,Boomers
Antigua and Barbuda,2005,female,15-24 years,0,7780,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Millenials
